
Todos os caminhos e suas distâncias:
Caminho: 1 -> 2 -> 3 -> 4 -> 5 -> 1 | Distancia total: 27.73 km
Caminho: 1 -> 2 -> 3 -> 5 -> 4 -> 1 | Distancia total: 26.26 km
Caminho: 1 -> 2 -> 4 -> 3 -> 5 -> 1 | Distancia total: 29.51 km
Caminho: 1 -> 2 -> 4 -> 5 -> 3 -> 1 | Distancia total: 24.54 km
Caminho: 1 -> 2 -> 5 -> 4 -> 3 -> 1 | Distancia total: 27.01 km
Caminho: 1 -> 2 -> 5 -> 3 -> 4 -> 1 | Distancia total: 30.51 km
Caminho: 1 -> 3 -> 2 -> 4 -> 5 -> 1 | Distancia total: 26.65 km
Caminho: 1 -> 3 -> 2 -> 5 -> 4 -> 1 | Distancia total: 27.65 km
Caminho: 1 -> 3 -> 4 -> 2 -> 5 -> 1 | Distancia total: 30.90 km
Caminho: 1 -> 3 -> 4 -> 5 -> 2 -> 1 | Distancia total: 27.01 km
Caminho: 1 -> 3 -> 5 -> 4 -> 2 -> 1 | Distancia total: 24.54 km
Caminho: 1 -> 3 -> 5 -> 2 -> 4 -> 1 | Distancia total: 29.43 km
Caminho: 1 -> 4 -> 3 -> 2 -> 5 -> 1 | Distancia total: 32.62 km
Caminho: 1 -> 4 -> 3 -> 5 -> 2 -> 1 | Distancia total: 30.51 km
Caminho: 1 -> 4 -> 2 -> 3 -> 5 -> 1 | Distancia total: 30.15 km
Caminho: 1 -> 4 -> 2 -> 5 -> 3 -> 1 | Distancia total: 29.43 km
Caminho: 1 -> 4 -> 5 -> 2 -> 3 -> 1 | Distancia total: 27.65 km
Caminho: 1 -> 4 -> 5 -> 3 -> 2 -> 1 | Distancia total: 26.26 km
Caminho: 1 -> 5 -> 3 -> 4 -> 2 -> 1 | Distancia total: 29.51 km
Caminho: 1 -> 5 -> 3 -> 2 -> 4 -> 1 | Distancia total: 30.15 km
Caminho: 1 -> 5 -> 4 -> 3 -> 2 -> 1 | Distancia total: 27.73 km
Caminho: 1 -> 5 -> 4 -> 2 -> 3 -> 1 | Distancia total: 26.65 km
Caminho: 1 -> 5 -> 2 -> 4 -> 3 -> 1 | Distancia total: 30.90 km
Caminho: 1 -> 5 -> 2 -> 3 -> 4 -> 1 | Distancia total: 32.62 km
Caminho: 2 -> 1 -> 3 -> 4 -> 5 -> 2 | Distancia total: 27.01 km
Caminho: 2 -> 1 -> 3 -> 5 -> 4 -> 2 | Distancia total: 24.54 km
Caminho: 2 -> 1 -> 4 -> 3 -> 5 -> 2 | Distancia total: 30.51 km
Caminho: 2 -> 1 -> 4 -> 5 -> 3 -> 2 | Distancia total: 26.26 km
Caminho: 2 -> 1 -> 5 -> 4 -> 3 -> 2 | Distancia total: 27.73 km
Caminho: 2 -> 1 -> 5 -> 3 -> 4 -> 2 | Distancia total: 29.51 km
Caminho: 2 -> 3 -> 1 -> 4 -> 5 -> 2 | Distancia total: 27.65 km
Caminho: 2 -> 3 -> 1 -> 5 -> 4 -> 2 | Distancia total: 26.65 km
Caminho: 2 -> 3 -> 4 -> 1 -> 5 -> 2 | Distancia total: 32.62 km
Caminho: 2 -> 3 -> 4 -> 5 -> 1 -> 2 | Distancia total: 27.73 km
Caminho: 2 -> 3 -> 5 -> 4 -> 1 -> 2 | Distancia total: 26.26 km
Caminho: 2 -> 3 -> 5 -> 1 -> 4 -> 2 | Distancia total: 30.15 km
Caminho: 2 -> 4 -> 3 -> 1 -> 5 -> 2 | Distancia total: 30.90 km
Caminho: 2 -> 4 -> 3 -> 5 -> 1 -> 2 | Distancia total: 29.51 km
Caminho: 2 -> 4 -> 1 -> 3 -> 5 -> 2 | Distancia total: 29.43 km
Caminho: 2 -> 4 -> 1 -> 5 -> 3 -> 2 | Distancia total: 30.15 km
Caminho: 2 -> 4 -> 5 -> 1 -> 3 -> 2 | Distancia total: 26.65 km
Caminho: 2 -> 4 -> 5 -> 3 -> 1 -> 2 | Distancia total: 24.54 km
Caminho: 2 -> 5 -> 3 -> 4 -> 1 -> 2 | Distancia total: 30.51 km
Caminho: 2 -> 5 -> 3 -> 1 -> 4 -> 2 | Distancia total: 29.43 km
Caminho: 2 -> 5 -> 4 -> 3 -> 1 -> 2 | Distancia total: 27.01 km
Caminho: 2 -> 5 -> 4 -> 1 -> 3 -> 2 | Distancia total: 27.65 km
Caminho: 2 -> 5 -> 1 -> 4 -> 3 -> 2 | Distancia total: 32.62 km
Caminho: 2 -> 5 -> 1 -> 3 -> 4 -> 2 | Distancia total: 30.90 km
Caminho: 3 -> 2 -> 1 -> 4 -> 5 -> 3 | Distancia total: 26.26 km
Caminho: 3 -> 2 -> 1 -> 5 -> 4 -> 3 | Distancia total: 27.73 km
Caminho: 3 -> 2 -> 4 -> 1 -> 5 -> 3 | Distancia total: 30.15 km
Caminho: 3 -> 2 -> 4 -> 5 -> 1 -> 3 | Distancia total: 26.65 km
Caminho: 3 -> 2 -> 5 -> 4 -> 1 -> 3 | Distancia total: 27.65 km
Caminho: 3 -> 2 -> 5 -> 1 -> 4 -> 3 | Distancia total: 32.62 km
Caminho: 3 -> 1 -> 2 -> 4 -> 5 -> 3 | Distancia total: 24.54 km
Caminho: 3 -> 1 -> 2 -> 5 -> 4 -> 3 | Distancia total: 27.01 km
Caminho: 3 -> 1 -> 4 -> 2 -> 5 -> 3 | Distancia total: 29.43 km
Caminho: 3 -> 1 -> 4 -> 5 -> 2 -> 3 | Distancia total: 27.65 km
Caminho: 3 -> 1 -> 5 -> 4 -> 2 -> 3 | Distancia total: 26.65 km
Caminho: 3 -> 1 -> 5 -> 2 -> 4 -> 3 | Distancia total: 30.90 km
Caminho: 3 -> 4 -> 1 -> 2 -> 5 -> 3 | Distancia total: 30.51 km
Caminho: 3 -> 4 -> 1 -> 5 -> 2 -> 3 | Distancia total: 32.62 km
Caminho: 3 -> 4 -> 2 -> 1 -> 5 -> 3 | Distancia total: 29.51 km
Caminho: 3 -> 4 -> 2 -> 5 -> 1 -> 3 | Distancia total: 30.90 km
Caminho: 3 -> 4 -> 5 -> 2 -> 1 -> 3 | Distancia total: 27.01 km
Caminho: 3 -> 4 -> 5 -> 1 -> 2 -> 3 | Distancia total: 27.73 km
Caminho: 3 -> 5 -> 1 -> 4 -> 2 -> 3 | Distancia total: 30.15 km
Caminho: 3 -> 5 -> 1 -> 2 -> 4 -> 3 | Distancia total: 29.51 km
Caminho: 3 -> 5 -> 4 -> 1 -> 2 -> 3 | Distancia total: 26.26 km
Caminho: 3 -> 5 -> 4 -> 2 -> 1 -> 3 | Distancia total: 24.54 km
Caminho: 3 -> 5 -> 2 -> 4 -> 1 -> 3 | Distancia total: 29.43 km
Caminho: 3 -> 5 -> 2 -> 1 -> 4 -> 3 | Distancia total: 30.51 km
Caminho: 4 -> 2 -> 3 -> 1 -> 5 -> 4 | Distancia total: 26.65 km
Caminho: 4 -> 2 -> 3 -> 5 -> 1 -> 4 | Distancia total: 30.15 km
Caminho: 4 -> 2 -> 1 -> 3 -> 5 -> 4 | Distancia total: 24.54 km
Caminho: 4 -> 2 -> 1 -> 5 -> 3 -> 4 | Distancia total: 29.51 km
Caminho: 4 -> 2 -> 5 -> 1 -> 3 -> 4 | Distancia total: 30.90 km
Caminho: 4 -> 2 -> 5 -> 3 -> 1 -> 4 | Distancia total: 29.43 km
Caminho: 4 -> 3 -> 2 -> 1 -> 5 -> 4 | Distancia total: 27.73 km
Caminho: 4 -> 3 -> 2 -> 5 -> 1 -> 4 | Distancia total: 32.62 km
Caminho: 4 -> 3 -> 1 -> 2 -> 5 -> 4 | Distancia total: 27.01 km
Caminho: 4 -> 3 -> 1 -> 5 -> 2 -> 4 | Distancia total: 30.90 km
Caminho: 4 -> 3 -> 5 -> 1 -> 2 -> 4 | Distancia total: 29.51 km
Caminho: 4 -> 3 -> 5 -> 2 -> 1 -> 4 | Distancia total: 30.51 km
Caminho: 4 -> 1 -> 3 -> 2 -> 5 -> 4 | Distancia total: 27.65 km
Caminho: 4 -> 1 -> 3 -> 5 -> 2 -> 4 | Distancia total: 29.43 km
Caminho: 4 -> 1 -> 2 -> 3 -> 5 -> 4 | Distancia total: 26.26 km
Caminho: 4 -> 1 -> 2 -> 5 -> 3 -> 4 | Distancia total: 30.51 km
Caminho: 4 -> 1 -> 5 -> 2 -> 3 -> 4 | Distancia total: 32.62 km
Caminho: 4 -> 1 -> 5 -> 3 -> 2 -> 4 | Distancia total: 30.15 km
Caminho: 4 -> 5 -> 3 -> 1 -> 2 -> 4 | Distancia total: 24.54 km
Caminho: 4 -> 5 -> 3 -> 2 -> 1 -> 4 | Distancia total: 26.26 km
Caminho: 4 -> 5 -> 1 -> 3 -> 2 -> 4 | Distancia total: 26.65 km
Caminho: 4 -> 5 -> 1 -> 2 -> 3 -> 4 | Distancia total: 27.73 km
Caminho: 4 -> 5 -> 2 -> 1 -> 3 -> 4 | Distancia total: 27.01 km
Caminho: 4 -> 5 -> 2 -> 3 -> 1 -> 4 | Distancia total: 27.65 km
Caminho: 5 -> 2 -> 3 -> 4 -> 1 -> 5 | Distancia total: 32.62 km
Caminho: 5 -> 2 -> 3 -> 1 -> 4 -> 5 | Distancia total: 27.65 km
Caminho: 5 -> 2 -> 4 -> 3 -> 1 -> 5 | Distancia total: 30.90 km
Caminho: 5 -> 2 -> 4 -> 1 -> 3 -> 5 | Distancia total: 29.43 km
Caminho: 5 -> 2 -> 1 -> 4 -> 3 -> 5 | Distancia total: 30.51 km
Caminho: 5 -> 2 -> 1 -> 3 -> 4 -> 5 | Distancia total: 27.01 km
Caminho: 5 -> 3 -> 2 -> 4 -> 1 -> 5 | Distancia total: 30.15 km
Caminho: 5 -> 3 -> 2 -> 1 -> 4 -> 5 | Distancia total: 26.26 km
Caminho: 5 -> 3 -> 4 -> 2 -> 1 -> 5 | Distancia total: 29.51 km
Caminho: 5 -> 3 -> 4 -> 1 -> 2 -> 5 | Distancia total: 30.51 km
Caminho: 5 -> 3 -> 1 -> 4 -> 2 -> 5 | Distancia total: 29.43 km
Caminho: 5 -> 3 -> 1 -> 2 -> 4 -> 5 | Distancia total: 24.54 km
Caminho: 5 -> 4 -> 3 -> 2 -> 1 -> 5 | Distancia total: 27.73 km
Caminho: 5 -> 4 -> 3 -> 1 -> 2 -> 5 | Distancia total: 27.01 km
Caminho: 5 -> 4 -> 2 -> 3 -> 1 -> 5 | Distancia total: 26.65 km
Caminho: 5 -> 4 -> 2 -> 1 -> 3 -> 5 | Distancia total: 24.54 km
Caminho: 5 -> 4 -> 1 -> 2 -> 3 -> 5 | Distancia total: 26.26 km
Caminho: 5 -> 4 -> 1 -> 3 -> 2 -> 5 | Distancia total: 27.65 km
Caminho: 5 -> 1 -> 3 -> 4 -> 2 -> 5 | Distancia total: 30.90 km
Caminho: 5 -> 1 -> 3 -> 2 -> 4 -> 5 | Distancia total: 26.65 km
Caminho: 5 -> 1 -> 4 -> 3 -> 2 -> 5 | Distancia total: 32.62 km
Caminho: 5 -> 1 -> 4 -> 2 -> 3 -> 5 | Distancia total: 30.15 km
Caminho: 5 -> 1 -> 2 -> 4 -> 3 -> 5 | Distancia total: 29.51 km
Caminho: 5 -> 1 -> 2 -> 3 -> 4 -> 5 | Distancia total: 27.73 km

Melhor caminho encontrado:
1 -> 3 -> 5 -> 4 -> 2 -> 1
Distancia total: 24.54 km
